Name;Market ID;Market Name;ISIN;Symbol;CCY;CSD;Type;ADT (EUR);Large In Scale (Local Currency);Live Date;End Date;TrackInsight A-list
BIOPHYTIS;ALXP;EURONEXT GROWTH FR;FR0012816825;ALBPSp;EUR;SA;EQ;270.658;60.000;30. Sep 19;;N
BUDGET TELECOM;ALXP;EURONEXT GROWTH FR;FR0004172450;ALBUDp;EUR;SA;EQ;147.796;60.000;30. Sep 19;;N
CARMAT;ALXP;EURONEXT GROWTH FR;FR0010907956;ALCARp;EUR;SA;EQ;203.712;60.000;30. Sep 19;;N
CROSSJECT;ALXP;EURONEXT GROWTH FR;FR0011716265;ALCJp;EUR;SA;EQ;53.757;30.000;30. Sep 19;;N
CLASQUIN;ALXP;EURONEXT GROWTH FR;FR0004152882;ALCLAp;EUR;SA;EQ;49.232;15.000;30. Sep 19;;N
CELLECTIS;ALXP;EURONEXT GROWTH FR;FR0010425595;ALCLSp;EUR;SA;EQ;3.371.517;200.000;30. Sep 19;;N
COFIDUR;ALXP;EURONEXT GROWTH FR;FR0013257409;ALCOFp;EUR;SA;EQ;9.593;15.000;30. Sep 19;;N
COGRA 48;ALXP;EURONEXT GROWTH FR;FR0011071570;ALCOGp;EUR;SA;EQ;25.448;15.000;30. Sep 19;;N
COIL;ALXP;EURONEXT GROWTH FR;BE0160342011;ALCOIp;EUR;SA;EQ;33.699;15.000;30. Sep 19;;N
BIOCORP;ALXP;EURONEXT GROWTH FR;FR0012788065;ALCORp;EUR;SA;EQ;11.488;15.000;30. Sep 19;;N
CARBIOS;ALXP;EURONEXT GROWTH FR;FR0011648716;ALCRBp;EUR;SA;EQ;72.970;30.000;30. Sep 19;;N
ARCURE SA;ALXP;EURONEXT GROWTH FR;FR0013398997;ALCURp;EUR;SA;EQ;197;15.000;01. Apr 19;;N
CYBERGUN SA;ALXP;EURONEXT GROWTH FR;FR0013204351;ALCYBp;EUR;SA;EQ;237.677;60.000;30. Sep 19;;N
DAMARTEX;ALXP;EURONEXT GROWTH FR;FR0000185423;ALDARp;EUR;SA;EQ;18.569;15.000;30. Sep 19;;N
DBT;ALXP;EURONEXT GROWTH FR;FR0013066750;ALDBTp;EUR;SA;EQ;155.264;60.000;30. Sep 19;;N
DEINOVE;ALXP;EURONEXT GROWTH FR;FR0010879056;ALDEIp;EUR;SA;EQ;417.096;60.000;30. Sep 19;;N
DELFINGEN INDUSTRY;ALXP;EURONEXT GROWTH FR;FR0000054132;ALDELp;EUR;SA;EQ;36.834;15.000;30. Sep 19;;N
D.L.S.I.;ALXP;EURONEXT GROWTH FR;FR0010404368;ALDLSp;EUR;SA;EQ;30.073;15.000;30. Sep 19;;N
DONT NOD ENTERTAINMENT SA;ALXP;EURONEXT GROWTH FR;FR0013331212;ALDNEp;EUR;SA;EQ;203.786;60.000;30. Sep 19;;N
DNXCORP;ALXP;EURONEXT GROWTH FR;FR0010436584;ALDNXp;EUR;SA;EQ;30.024;15.000;30. Sep 19;;N
DELTA DRONE;ALXP;EURONEXT GROWTH FR;FR0011522168;ALDRp;EUR;SA;EQ;426.837;60.000;30. Sep 19;;N
DRONE VOLT SACA;ALXP;EURONEXT GROWTH FR;FR0013088606;ALDRVp;EUR;SA;EQ;79.824;30.000;30. Sep 19;;N
ENCRES DUBUIT;ALXP;EURONEXT GROWTH FR;FR0004030708;ALDUBp;EUR;SA;EQ;11.896;15.000;30. Sep 19;;N
EDILIZIACROBATICA SPA;ALXP;EURONEXT GROWTH FR;IT0005351504;ALEACp;EUR;SA;EQ;12.710;15.000;30. Sep 19;;N
EMOVA GROUP;ALXP;EURONEXT GROWTH FR;FR0013356755;ALEMVp;EUR;SA;EQ;11.874;15.000;30. Sep 19;;N
ENERTIME SA;ALXP;EURONEXT GROWTH FR;FR0011915339;ALENEp;EUR;SA;EQ;30.981;15.000;30. Sep 19;;N
ENTREPARTICULIERS.COM;ALXP;EURONEXT GROWTH FR;FR0010424697;ALENTp;EUR;SA;EQ;217;15.000;30. Sep 19;;N
EUROBIO-SCIENTIFIC;ALXP;EURONEXT GROWTH FR;FR0013240934;ALERSp;EUR;SA;EQ;54.345;30.000;30. Sep 19;;N
ECOSLOPS;ALXP;EURONEXT GROWTH FR;FR0011490648;ALESAp;EUR;SA;EQ;47.967;15.000;30. Sep 19;;N
